,original_language,movie,production_budget,worldwide_gross,studio,movie_id,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
1150,en,Devil's Due,"$7,000,000","$36,146,087",Fox,tt2752758,Devil's Due,2014,89.0,"Horror,Mystery,Thriller",4.1,15502
1151,hi,The Lunchbox,"$1,700,000","$12,231,500",SPC,tt2350496,Dabba,2013,104.0,"Drama,Romance",7.8,42618
1152,en,The Face of Love,"$4,000,000","$1,158,877",IFC,tt1839642,The Face of Love,2013,92.0,"Drama,Mystery,Romance",6.2,4710
1153,en,The Girl on the Train,"$45,000,000","$174,278,214",Strand,tt2387589,The Girl on the Train,2013,80.0,Thriller,4.4,819
1154,en,The Girl on the Train,"$45,000,000","$174,278,214",Strand,tt3631112,The Girl on the Train,2016,112.0,"Crime,Drama,Mystery",6.5,150977
1155,en,The Girl on the Train,"$45,000,000","$174,278,214",Strand,tt2387589,The Girl on the Train,2013,80.0,Thriller,4.4,819
1156,en,The Girl on the Train,"$45,000,000","$174,278,214",Strand,tt3631112,The Girl on the Train,2016,112.0,"Crime,Drama,Mystery",6.5,150977
1157,en,The Girl on the Train,"$45,000,000","$174,278,214",Strand,tt2387589,The Girl on the Train,2013,80.0,Thriller,4.4,819
1158,en,The Girl on the Train,"$45,000,000","$174,278,214",Strand,tt3631112,The Girl on the Train,2016,112.0,"Crime,Drama,Mystery",6.5,150977
1159,en,Red,"$60,000,000","$196,439,693",Sum.,tt2181948,Red,2014,,Thriller,5.8,9
1160,en,Red,"$60,000,000","$196,439,693",Sum.,tt4170206,Red,2014,107.0,Drama,8.4,8
1161,en,Red,"$60,000,000","$196,439,693",Sum.,tt8851190,Red,2018,90.0,Drama,8.1,26
1162,en,Avengers: Age of Ultron,"$330,600,000","$1,403,013,963",BV,tt2395427,Avengers: Age of Ultron,2015,141.0,"Action,Adventure,Sci-Fi",7.3,665594
1163,en,Ant-Man,"$130,000,000","$518,858,449",BV,tt0478970,Ant-Man,2015,117.0,"Action,Adventure,Comedy",7.3,501213
1164,en,Spectre,"$300,000,000","$879,620,923",Sony,tt2379713,Spectre,2015,148.0,"Action,Adventure,Thriller",6.8,352504
1165,en,Spectre,"$300,000,000","$879,620,923",Sony,tt2379713,Spectre,2015,148.0,"Action,Adventure,Thriller",6.8,352504
1166,en,Mad Max: Fury Road,"$150,000,000","$370,098,020",WB,tt1392190,Mad Max: Fury Road,2015,120.0,"Action,Adventure,Sci-Fi",8.1,780910
1167,en,Taken 3,"$48,000,000","$327,656,424",Fox,tt2446042,Taken 3,2014,108.0,"Action,Thriller",6.0,165072
1168,en,San Andreas,"$110,000,000","$456,258,539",WB (NL),tt2126355,San Andreas,2015,114.0,"Action,Adventure,Drama",6.1,192750
